Hymn_No,Tulu,English,Number,Author,Kannada Category,English Category,Last Num
1,"ಯೆಹೋವಾ! ಯೆಹೋವಾ!\nಯೆಹೋವಾ,\nನಿಕ್ಕ್ ಮಾನ, ಸಂಸ್ತುತಿ, ಮಹಿಮೆ!\nಆಮೆನ್! ಆಮೆನ್!\nಈ ಲೋಕದಂತ್ಯ ಬನ್ನೆಂಗೆ\nನಿನ ಸ್ತೋತ್ರದರಿಕೆ\nಮಳ್ಪುವ ಸಂತೋಷೊಡೇ!\nಪರಿಶುದ್ಧ ಪರಿಶುದ್ಧ ದೇವೇರೇ!\nಹಲ್ಲೆಲೂಯ! ಹಲ್ಲೆಲೂಯಾ!","Yehövaa! Yehövaa!\nYehövaa,\nNikkú maana, samsthuthi, mahime!\nAamen! Aamen!\nYee lokadhanthya bannenge\nNina sthöthradharike\nMalpuva santhö$hodë!\nParishuddha parishuddha Dhëverë!\nHallelooyaa! Hallelooyaa!",171,J. Ammann,tulu,Tulu,TypedValues.TYPE_TARGET
2,"1. ಮೂಳು ಶುಭವರ್ತಮಾನ\nಕೇಣುನೆಕ್ ಕೂಡುದ;\nಇತ್ತೆ ನಿನ ವರದಾನ\nಮಾತೆರೆಗ್ ಪಟ್ಟುಲ.\nಜೀವರೊಟ್ಟಿ, ಜೀವಪಾನ\nಕೊರ್ಪುಂಡು ಸುವರ್ತಮಾನ;\nಐನ್, ಪ್ರಿಯ ಕರ್ತವಾ,\nಕೊರ್ದು ತೃಪ್ತಿ ಮಳ್ಪುಲ!\n\n2. ಆದಾಂ ಹವ್ವ ಪಾಪೊಗಾದ್\nಶಾಪ ತಾಪ ಪಡೆಯ,\nಸ್ವಂತ ಪಾಪಕರ್ಮೊಗಾದ್\nಮರಣೊಡು ಬೂರುದ.\nಯೆಂಕ್ಳೆ ನಿಜ ಕಂಗಲ್ತನ,\nಆತ್ಮದವು ಬಡಸ್ತನ,\nತೂಪಿಲೆಕ್ಕ ಕಣ್ಣ್ ನೇ \nಬೆಳಗಾಲ ದೇವೆರೇ!\n\n3. ನಿನ ವಾಕ್ಯ ಬೊಳ್ಪು ಆದ್\nಕೊರ್ದು, ನಿನ ಕೆಲಸ\nಯೆಂಕುಳೆಡ್ ಒದಗಾದ್\nಈಯೇ ಗಡು ಮುಟ್ಟಾಲ!\nಇಂಚ ಬೊಳ್ಪುದಾಕುಳಾದ್\nನಿಕ್ಕ್ ಮೆಚ್ಚು ಬಂಟೆರಾದ್\nಸೈಪಿ ಕಾಲ ಬನ್ನೆಂಗೆ\nಬಾಳುವ ನಿನೈಕ್ಯೊಡೇ.","1. Moolu shubhavarthamaana\nKëñunekú koodudha;\nYitthe nina varadhaana\nMaatheregú pattula.\nJeevarotti, jeevapaana\nKorpundu suvarthamaana;\nAinú, priya Karthavaa,\nKordhu thrupthi malpula!\n\n2. Aadhaam havva paapogaadhú\nShaapa thaapa padeya,\nSwantha paapakarmogaadhú\nMarañodu boorudha.\nYenkle nija kangalthana,\nAathmadhavu badasthana,\nThoopilekka kaññúnë\nBelagaala Dhëverë!\n\n3. Nina vaakya bolpu aadhú\nKordhu, nina kelasa\nYenkuledú odhagaadhú\nYeeyë gadu muttaala!\nYincha bolpudhaakulaadhú\nNikkú mechchu banteraadhú\nSaipi kaala bannenge\nBaaluva ninaikyodë.",160,G. Camerer & A. MÃ¤nner,tulu,Tulu,TypedValues.TYPE_TARGET
3,"1. ಯೆಂಕ್ ನಿನ ಶುದ್ಧ ವಾಕ್ಯ\nಒರಿಪಾಲ ಕರ್ತವಾ!\nಐಟ್ ಉಂಡು ನಿತ್ಯ ಭಾಗ್ಯ,\nದಿವ್ಯ ದ್ರವ್ಯದೈಶ್ವರ್ಯ.\nನಂಬಿಗೆಗ್ ಮೂಲಾದುಪ್ಪು\nನಿನ ದಿವ್ಯ ವಾಕ್ಯೊಡೇ\nದೃಢ ಮಳ್ಪು! ನನ ದುಂಬು\nಲೋಕ\u200cದಾಶೆ ಮಳ್ಪಯೆ.\n\n2. ಹಲ್ಲೆಲೂಯಾ! ನಿನ್ನ ವಾಕ್ಯ\nಯೆಂಕ್ ಬಲ ನಿಜನೇ;\nಐಕ್ ಯಾನ್ ಬಗ್ಗುಲೆಕ್ಕ\nದಯ ಕೊರ್ಲ ದೇವೆರೇ.\nನಿನ ಸೇವೆ ಕಾಂಡೆ ಬೈಯ\nಮಳ್ಪೆರೆ ಸಂತೋಷೊಡು,\nನಿನ ಪ್ರಿಯ ಪಾದದಳ್ಪ\nಕುಳ್ಳು ಆಶೆ ಪುಟ್ಟಾವು.","1. Yenkú nina shuddha vaakya\nOripaala Karthavaa!\nAitú undu nithya bhaagya,\nDhivya dhravyadhaishvarya.\nNambigegú moolaadhuppu\nNina dhivya vaakyodë,\nDhruda malpu! nana dhumbu\nLökadhaashe malpayé.\n\n2. Hallelooyaa! nina vaakya\nYenkú bala nijanë;\nAikú yaanú baggulekka\nDhaya korla Dhëverë,\nNina sëve kaande baiya\nMalpere santhö$hodu.\nNina priya paadhadhalpa\nKullu aashe puttaavu.","151,231",A. MÃ¤nner,tulu,Tulu,TypedValues.TYPE_TARGET
4,"1. ಕ್ರಿಸ್ತ್ಯೇಸೋ, ನಿನ ದಯ\nಅಪೇಕ್ಷೆ ಮಳ್ಪುವ;\nಈ ಯೆಂಕುಳೆಗಾಶ್ರಯ\nಆದುಳ್ಳ ಯೇಪಲಾ.\n\n2. ಇಕ್ಕಟ್ಟ್ ಸಾದಿಡ್ದಾದ್\nಅನೇಕ ತರತ\nಅಭ್ಯಂತ್ರ, ಉಂದೆಕಾದ್\nಈ ನಡಪುಡುಲ!\n\n3. ಜಯಾಂಡ್ ಅಮ್ಮಾಡ್ಳೆಗ್\nಈ ದಯ ನಂಬುದು,\nಸಮಸ್ತ ಭಕ್ತೆರೆಗ್\nಈ ಮಾರ್ಗ ದೀದುಂಡು.\n\n4. ಐಕಾದ್ ಧೈರ್ಯ ಆದ್\nಈ ದಿವ್ಯ ದಯೊಟೇ\nಬುಡಂದೆ ನಿಲೆಯಾದ್\nಆಧಾರ ಮಳ್ತೊಣ್ಲೆ!\n\n5. ಈ ಲೋಕ, ಪಾಪ ಕರ್ಮ\nಪುಟ್ಟಾವು ಬಂಙೊಡೇ\nಆಶ್ರಯ ಕೊರ್ಪಿ ಮರ್ಮ\nಉಂಡು ಈ ದಯೊಟೇ.\n\n6. ಓ ಯೇಸೋ, ಬೇಗ ಬಲ್ಲ!\nನಿನನ್ ಕಾಪುವ,\nಪಾಪೊಡ್ದು ಬುಡುಪಾಲ!\nಈ ಸುದರಿಪುಲ!\n\n7. ಪೂರ್ತ್ಯಾದ್ ಜೈಸುನೆಕ್\nಸಹಾಯ ಮಳ್ಪುಲ!\nವಿಶ್ವಾಸ ಮಾತೆರೆಗ್\nಹೆಚ್ಚಾಲ, ಕರ್ತವಾ!\n\n8.ಅಂಚಾಂಡ ಲೋಕನಷ\u200c್ಟ\nನಿಕ್ಕಾದ್ ಲಾಭನೇ\nಈ ದಯ ಮಾತ ಕಷ\u200c್ಟ\nದೆಪ್ಪುಂಡು ನಮಡ್ದೇ.\n\n9. ವಿಶ್ವಾಸ, ಹೆಚ್ಚೆಚ್ಚಾದ್\nಈ ಲೋಕಭಂಗೊನು\nಕ್ರಿಸ್ತ್ಯೇಸು ಪುಣ್ಯೊಡ್ದಾದ್\nದಿನಾಲಾ ಜೈಸುಂಡು.\n\n10. ಈ ಲೋಕ ಮೋಸೊಗಾದ್\nಬುಡಂದೆ ಬುಳ್ಪುವ,\nಬೋಡಾಪಿ ಬಲೊಕಾದ್\nಕ್ರಿಸ್ತ್ಯೇಸೋ, ನಟ್ಟುವ.\n\n11. ವಿಶ್ವಾಸದಾಕುಳೆಗ್\nಈ ದಯ ಈಯ್ಯವು;\nತೋಜಾಲ ಮಾತೆರೆಗ್\nಈ ದಯಾಧಾರೊನು!","1. Kristhyësö, nina dhaya\nApëkshe malpuva;\nYee yenkulegaashraya\nAadhulla yëpalaa.\n\n2. Yikkattú saadhid-dhaadhú\nAnëka tharatha\nAbhyanthra, undhekaadhú\nYee nadapudula!\n\n3. Jayaandú ammaadlegú\nYee dhaya nambudhu,\nSamastha bhaktheregú\nYee maarga dheedhundu.\n\n4. Aikaadhú dhairya aadhú\nYee dhivya dhayotë\nBudandhe nileyaadhú\nAadhaara malthoñle!\n\n5. Yee löka paapa karma\nPuttaavu bangnodë\nAashraya korpi marma\nUndu yee dhayotë.\n\n6. Ö Yësö, bëga balla!\nNinanú kaapuva,\nPaapod-dhu budupaala!\nYee sudharipula!\n\n7. Poorthyaadhú jaisunekú\nSahaaya malpula!\nVishwaasa maatheregú\nHechchaala, Karthavaa!\n\n8. Anchaanda lökana$hta\nNikkaadhú laabhanë\nYee dhaya maatha ka$hta\nDheppundu namad-dhë.\n\n9. Vishwaasa, hechchechchaadhú\nYee lökabhangonu\nkristhyësu puñyod-dhaadhú\nDhinaalaa jaisundu.\n\n10. Yee löka mösogaadhú\nBudandhe bulpuva,\nBödaapi balokaadhú\nKristhyësö, nattuva.\n\n11. Vishwaasadhaakulegú\nYee dhaya yeeyyavu;\nThöjaala maatheregú\nYee dhayaadhaaronu!",7,A. MÃ¤nner,tulu,Tulu,TypedValues.TYPE_TARGET
5,"1. ಒಟ್ಟಾವೊಣ್ದು ಬಲ್ಲೆ!\nದೇವೆರೆದ್\u200dರ್\u200dಗ್\nಭಕ್ತಿಸೇವೆ ಮಳ್ಪುನೆಕ್.\nಪರಿಶುದ್ಧದಾಯೆ\nನಮ ನಡುಟುಳ್ಳೆ.\nಮನಿಪಂದೆ ಅಡ್ಡ ಬೂರ್ಲೆ!\nಯೇರಾಯೆ ಪಿಂದೊಣ್ಲೆ!\nಪೂರಾ ತಗ್ಗಾವೊಣ್ಲೆ!\nಆಯಗೊಪ್ಪಿಯೊಣ್ಲೆ!\n\n2. ಮಾತ ದೂತಸೈನ್ಯ\nಪರಲೋಕೊಳೆಡ್\nಕೊಂಡಾಡುಂಡು ಮಹಿಮೆಡ್;\nಶುದ್ಧ, ಪರಿಶುದ್ಧ\nದೇವೆರೆಗ್ ಮಾನ,\nಉಂದೇ ದೂತಗಣ ಧ್ಯಾನ.\nಆಯಗೇ ಮಳ್ಪುಲೆ\nಭಕ್ತಿ ಸ್ತುತಿ ಸ್ತೋತ್ರ,\nನರಕುಲಗೋತ್ರಾ!\n\n3. ಯೆಂಕ್ ನನ ಬೊಡ್ಚಿ\nಈ ಪ್ರಪಂಚಲಯ,\nಸ್ವಾಮೀ, ಬೋಡು ನಿನ ದಯ!\nನಿಕ್ಕ್ ವಶ ಆದ್\nಪೂರಾ ಪಾದಸೇವೆ\nಅಂತ್ಯ ಮುಟ್ಟಲಾ ಮಳ್ಪೇವೆ.\nದೇವೆರೇ, ನಿನ್ನವೇ\nಯೆನ ಕಾಯ ಪ್ರಾಣ,\nನಿಕ್ಕ್ ನಿತ್ಯ ಮಾನ!\n\n4. ದಯ ದಿಂಜಿನಾಯಾ,\nಯೆನ ಉಳೈ ಬಲ್ಲ!\nಯಾನ್ ನಿನ ವಾಸಸ್ಥಳ.\nಮಾತ ಪೇಸಿಗೆನ್\nಯೇಸು ಪುಣ್ಯೊಡ್ದಾದ್\nಶುದ್ಧ ಮಳ್ಪು ಪೂರ್ತಿ ಆದ್!\nದೇವೆರೇ! ನಿನಡ್ದೇ!\nಬರ್ಪುಂಡು ಸುಜ್ಞಾನ,\nನಿತ್ಯ ಸಮಾಧಾನ.","1. Ottaavoñdhu balle\nDhëveredhúrúgú\nBhakthisëve malpunekú.\nParishuddhadhaaye\nNama nadutulle,\nManipandhe adda boorle!\nYëraaye pindhoñle!\nPooraa thaggaavoñle!\nAayagoppiyoñle!\n\n2. Maatha dhoothasainya\nParalökoledú\nKondaadundu mahimedú;\nShuddha, parishuddha\nDhëveregú maana,\nUndhë dhoothagaña dhyaana.\nAayagë malpule\nBhakthi sthuthi sthöthra,\nNarakulagöthraa!\n\n3. Yenkú nana bodchi\nYee prapanchalaya;\nSwaamee, bödu nina dhaya!\nNikkú vasha aadhú\nPooraa paadhasëve\nAnthya muttalaa malpëvé.\nDhëverë, ninnavë\nYena kaaya praaña,\nNikkú nithya maana!\n\n4. Dhaya dhinjinaayaa,\nYena ulai balla!\nYaanú nina vaasasthala,\nMaatha pësigenú\nYësu puñyod-dhaadhú\nShuddha malpu poorthi aadhú!\nDhëvarë! ninad-dhë\nBarpundu sujnaana,\nNithya samaadhaana.",178,A. MÃ¤nner,tulu,Tulu,TypedValues.TYPE_TARGET
6,"1. ಸರ್ವಾಧಿಕಾರದಾಯಗೇ\nಬುಡಂದೆ ಕೊರ್ಲೆ ಮಾನ!\nಪಾಪಿಷ್ಟೆರೆಗ್ ರಕ್ಷಣೆ,\nವಿವೇಕ, ಸಮಾಧಾನ\nಮಳ್ಪಾದೆ. ಇತ್ತೆ ಲೋಕೊಗೇ\nಉಂಡಾಂಡ್ ಅಮ್ಮ ಮೆಚ್ಚಿಗೆ,\nತೀರ್\u200dಂಡ್ ಮಾತ ಭೇದ!\n\n2. ಭೂಲೋಕ ಶಾಪದವತ್ತಾ?\nಓಳೈಕ್ ಪರಿಹಾರ?\nಯೇಸುಡು ಇತ್ತೆ ನಿಶ್ಚಯ\nನಂಕಾಂಡ್ ಉಪಕಾರ,\nಓ ಪ್ರಿಯ ನರಪುತ್ರೆರೇ!\nಓಂಙೊಣ್ದು ಕೇಣ್ಲೆ! ಯೇಸುವೇ\nಉಂದೆನ್ ಮಾತ ಮಳ್ತೆ.\n\n3. ಈ ಸಮಾಧಾನದರಸು,\nಶ್ರೀ ಯೇಸೋ! ನಿಕ್ಕ್ ನನ\nವಶಾಯಿ ಜನ ಯೆಂಕುಳು\nಕೊರ್ಪೇವ ಘನ ಮಾನ.\nಈ ಯೆಂಕುಳೆನ್ ದಯೊಟು\nಸೇರಾಲ ನಿನ ರಾಜ್ಯೊಗು!\nಔಳೇ ವಿಶ್ರಾಂತಿ ಕೊರ್ಲ!","1. Sarvaadhikaaradhaayagë\nBudandhe korle maana!\nPaapi$hteregú rakshañe,\nVivëka, samaadhaana\nMalpaadhe. yitthe lökogë\nUndaandú Amma mechchige,\nTheerúndú maatha bhëdha!\n\n2. Bhoolöka shaapadhavatthaa?\nÖlaikú parihaara?\nYësudu yitthe nishchaya\nNankaandú upakaara.\nÖ priya naraputhrerë!\nÖngnondhu këñle! Yësuvë!\nUndhenú maatha malthe.\n\n3. Yee samaadhaanadharasu,\nShree Yësö! Nikkú nana\nVashaayi jana yenkulu\nKorpëva ghana maana.\nYee yenkulenú dhayotu\nSëraala nina Raajyogu!\nAulë vishraanthi korla!\n.............",109,G. Camerer,tulu,Adoration of God,TypedValues.TYPE_TARGET
7,"1. ಪ್ರಿಯ ರಕ್ಷಕಾ!\nಯೇಸು ಕರ್ತವಾ!\nನಿನ ಮಲ್ಲ ಪ್ರೀತಿಡ್ದಾದ್\nಮೂಳು ಒಂಜಿ ಸಭೆ ಆದ್\nಒಟ್ಟು ಕೂಡುದ,\nದಯ ಹೊಂದಿಯ.\n\n2. ಸಭೆತಾಕುಳು\nಮಾತ ಕ್ರಿಯೊಡು\nಶುದ್ಧ ನಂಬಿಗೆ ತೋಜಾದ್,\nನಿನ ಮಾನ ಮೈಮೆಗಾದ್\nನಡೆನುಡಿಟ್\nಶುದ್ಧ ಉಪ್ಪಡ್.\n\n3. ನಿನ ಐಕ್ಯೊನು\nದಯಪಾಲಿಪು!\nಕೊರ್ಲ ಪರಲೋಕ ಜ್ಞಾನ.\nಯೆಂಕುಳುಪ್ಪು ವಿದ್ಯಮಾನ\nತೂದು, ಕರ್ತವಾ,\nತಪ್ಪು ತಿದ್ದುಲ!\n\n4. ಯೇಸೋ! ಬುಡಂದೆ\nನಿನ ಸಭೆಳೆ\nಎಡ್ಡೆ ಮೆಲ್ಲಿ ಸುದರಿಪು.\nಅಡ್ಡಿ ಸಡ್ಡಿ ಪೂರ ದೆಪ್ಪು,\nನಿನ್ನ ಆತ್ಮದ\nಐಕ್ಯ ದಂಡ್ಯಾಲ!\n\n5. ಲೋಕನಡತೆ\nಪೂರ್ತಿ ಪೇಶಿಗೆ,\nಐಡ್ದ್ ಪೋವು ಮರಿಯಾದಿ;\nಯೇಸು ನಂಕ್ ಸರ್ತ ಸಾದಿ\nಪರಲೋಕೊಗು;\nಪೋಯಿ ಒಟ್ಟುಗು!\n\n6. ಮೂಳು ಪೊಂರ್ಬಾಟ,\nಔಳು ಕಿರೀಟ!\nಮೂಳು ನಂಬುನಾಕುಳಾದ್\nಪರಲೋಕಭಾಗ್ಯೊಗಾದ್\nಎಡ್ಡೆ ಉರ್ಡ್\u200dಂಡ,\nಜಯ ಹೊಂದುವ.","1. Priya Rakshakaa!\nYësu Karthavaa!\nNina malla preethid-dhaadhú\nMoolu onji sabhe aadhú\nOttu koodudha,\nDhaya hondhiya.\n\n2. Sabhethaakulu\nMaatha kriyodu\nShuddha nambige thöjaadhú\nNina maana maimegaadhú\nNadenuditú\nShuddha uppadú.\n\n3. Nina aikyonu \ndhayapaalipu!\nKorla paralöka jnaana,\nYenkuluppu vidhyamaana,\nThoodhu, Karthavaa,\nThappu thiddhula!\n\n4. Yësö! budandhe\nNina sabhele\nYedde melli sudharipu.\nAddi saddi poora dheppu,\nNina aathmadha\nAikya dhandyaala!\n\n5. Lökanadathe\nPoorthi pëshige.\nAid-dhú pövu mariyaadhi;\nYësu nankú sartha saadhi\nParalökogu;\nPöyi ottugu!\n\n6. Moolu pormbaata,\nAulu kireeta!\nMoolu nambunaakulaadhú\nParalökabhaagyogaadhú\nYedde urdúnda,\nJaya hondhuva.",56,G. Cammerer & A. MÃ¤nner,tulu,Tulu,TypedValues.TYPE_TARGET
8,"1. ಕ್ರಿಸ್ತಾ! ನಿನ ಜನ\nಚದರಾದುಂಡು;\nಕೊರ್ಲ, ಸಮಾಧಾನ\nಈ ಪ್ರಯಾಣೊಗು!\nನಿನ ಶುದ್ಧ ವಾಕ್ಯ,\nಐತ ಒಟ್ಟುಗು;\nಆತ್ಮದವು ಭಾಗ್ಯ\nದಯಪಾಲಿಪು!\n\n2. ಲೋಕದ ಪ್ರಯಾಸ\nನನ ಹೆಚ್ಚುಂಡು;\nಕರ್ತವಾ, ವಿಶ್ವಾಸ,\nಧೈರ್ಯ ಪುಟ್ಟಾವು!\nಆತ್ಮದಭಿಷೇಕ,\nದಿವ್ಯ ಸಾಮರ್ಥ್ಯ\u200c\nಯೆಂಕುಳೆಗ್ ಬೇಗ\nದಯ ಮಳ್ಪುಲ!\n\n3. ಜೀವದಂತ್ಯ ಮುಟ್ಟ,\nಪ್ರಿಯ ಕರ್ತವಾ!\nಯೆಂಕುಳೆನ್ ದೃಢ\nಮಳ್ಪು! ಆಪಗ\nನಿಕ್ಕ್ ವಶ ಆದ್\nನಿತ್ಯ ಯೆಂಕುಳು\nನಿನ ದಯೊಕಾದ್\nಕೊರ್ಪ ಸ್ತೋತ್ರೊನು.","1. Kristhaa! nina jana\nChadharaadhundu;\nKorla samaadhaana\nYee prayaañogu!\nNina shuddha vaakya,\nAitha ottugu;\nAathmadhavu bhaagya\nDhayapaalipu!\n\n2. Lökadha prayaasa\nNana hechchundu;\nKarthavaa, vishwaasa,\nDhairya puttaavu!\nAathmadhabhi$hëka,\nDhivya saamarthya\nYenkulegú bëga\nDhaya malpula!\n\n3. Jeevadhanthya mutta,\nPriya Karthavaa!\nYenkulenú dhruda\nMalpu! aapaga\nNikkú vasha aadhú\nNithya yenkulu\nNina dhayokaadhú\nKorpa sthöthronu.",114,A. MÃ¤nner,tulu,Tulu,TypedValues.TYPE_TARGET
9,"1. ಶುಭವರ್ತಮಾನ\nಸರ್ವೆರೆಗೇ\nಘಟ್ಟಿ ಆದ್ ಪಣ್ಲೆ!\nನಂಬುನಾಯಗೇ\nತಿಕ್ಕು ಸಮಾಧಾನ,\nನಿತ್ಯ ರಕ್ಷಣೆ.\nಯೇಸು ನಮ್ಮ ರಕ್ಷಕೆ.\nಬರ್ಪಿನಾಯಗೇ\nಆಯೆ ರಕ್ಷಕೆ.\nಈ ಸುವರ್ತಮಾನ ಕೇಣ್ಲೆ, \nಪಾಪಿಳೇ!\nಅಮ್ಮೆ ನಿಕುಳೆನ್\nಲೆತ್ತೆ ಪ್ರೀತಿಡೇ;\nಬಲ್ಲೆ! ಅಮ್ಮೆ ಲೆಪ್ಪುವೆ.\n\n2. ದಯತ ಸಮಯ\nಉಪ್ಪುನೆಂಗೆ\nಎಡ್ಡೆ ಸುದ್ದಿ ಕೇಣ್ಲೆ;\nಬರ್ಪಿನಾಯಗೇ\nರಕ್ಷಣೆದ ಸಾದಿ\nಯೇಸು ತೋಜಾವೆ.\nಯೇಸು-\n\n3. ದೇವೆರೆ ಸದ್ವಾಕ್ಯ\nಯೆಂಚಾಂಡಲಾ\nಕೊರು ನಿಕ್ಕ್ ಬಲ,\nಐನ್ ನಂಬ್\u200dಂಡ,\nನಿಕ್ಕ್ ನಿತ್ಯಜೀವ\nಉಂಡು ನಿಶ್ಚಯ!\nಯೇಸು-","1. Shubhavarthamaana\nSarveregë\nGhatti aadhú pañle!\nNambunaayagë\nThikku samaadhaana,\nNithya rakshañe.\nYësu nama Rakshake.\nBarpinaayagë\nAaye Rakshake.\nYee suvarthamaana këñle,\npaapilë!\nAmme nikulenú\nLetthe preethidë;\nBalle! Amme leppuve.\n\n2. Dhayatha samaya\nUppunenge\nYedde suddhi këñle;\nBarpinaayagë\nRakshañedha saadhi\nYësu thöjaave.\nYësu............\n\n3. Dhëvere sadhvaakya\nYenchaandalaa\nKoru nikkú bala,\nAinú nambúnda,\nNikkú nithyajeeva!\nUndu nishchaya!\nYësu................",239,A. MÃ¤nner,tulu,Tulu,TypedValues.TYPE_TARGET
10,"1. ಸರ್ವತ್ರಾಣಿ ದೇವೆರೇ!\nಆಶೀರ್ವಾದ ನಟ್ಟುವೆ\nಯೆನ ಪಾಪ ಮಾಜಾಲ,\nಕೊರ್ಲ ಶುದ್ಧ ಹೃದಯ,\nದೇವೆರೇ, ಓ ದೇವೆರೇ!\nಆಶೀರ್ವಾದ ನಟ್ಟುವೆ\n\n2. ಅಮ್ಮಾ, ನಿನ ದಯೊಟು\nಯಾನ್ ನಿನ ವಾಕ್ಯೊನು\nಕೇಣುಲೆಕ್ಕ ಮಳ್ತ್ ದ;\nನಿಲೆ ಮಳ್ತ್ ಕಾಪುಲ!\nದೇವೆರೇ-\n\n3. ಯೇಸುಗಾದ್ ನಟ್ಟುವೆ,\nಅಮ್ಮಾ, ಪಾಪಕತ್ತಲೆ\nದೂರ ಮಳ್ತ್ ಪಾರಾಲ!\nಕೇಣ್ಲ, ಪ್ರಿಯ ಕರ್ತವಾ!\nದೇವೆರೇ-","1. Sarvathraañi Dhëverë!\nAasheervaadha nattuvé\nYena paapa maajaala,\nKorla shuddha hrudhaya.\nDhëverë, Ö Dhëverë!\nAasheervaadha nattuvé.\n\n2. Ammaa, nina dhayotu\nYaanú nina vaakyonu\nKëñulekka malthúdha;\nNile malthú kaapula!\nDhëverë............\n\n3. Yësugaadhú nattuvé,\nAmmaa, paapakatthale\nDhoora malthú paaraala!\nKëñla, priya Karthavaa!\nDhëverë..........",63,A. MÃ¤nner,tulu,Adoration of God,TypedValues.TYPE_TARGET
