Hymn_No,Kannada,English,Number,Author,Kannada Category,English Category,Last Num
1,"ಯೆಹೋವ! ಯೆಹೋವ!\nಯೆಹೋವ, ನಿನ್ನ ನಾಮ\nಸದಾ ಸಂಕೀರ್ತ್ಯವೇ!\nಆಮೆನ್! ಆಮೆನ್!\nತ್ರಿಜಗನ್ನಾಥ ಕರ್ತನೇ!\nಸದಾನಂದನೇ! ಸದಾ\nನಮ್ಮ ಪತಿ ನೀನು,\nಸಂಕೀರ್ತ್ಯ, ಕೀರ್ತ್ಯ,\nಕೀರ್ತ್ಯ ಈಶಾ!\nಹಲ್ಲೆಲೂಯಾ! ಹಲ್ಲೆಲೂಯಾ!","Yehöva! Yehöva!\nYehöva,ninna naama\nSadhaa sankeerthyavë!\nAamen! Aamen!\nThrijagannaatha Karthanë!\nSadhaanandhanë! sadhaa\nNamma pathi neenu.\nSankeerthya, keerthya,\nKeerthya Yeeshaa!\nHalleluyaa! Halleluyaa!",171,Th. Walz,kannada,Adoration of God the Father,1
2,"1. ಯೆಹೋವ ಜಗದೀಶನೇ!\nನೀನಾತ್ಮನಾಗಿದ್ದೀ;\nಸಂಪೂರ್ಣ ಆತ್ಮಸೇವೆಗೆ\nಯಾವಾಗ್ಯೂ ಮೆಚ್ಚುತ್ತೀ.\n\n2. ನಮ್ಮಂತರಂಗ ಕರ್ತನೇ,\nಪರೀಕ್ಷೆ ಮಾಡುತ್ತೀ;\nನಮ್ಮಲ್ಲಿ ಮೋಸ ಕಂಡರೆ\nಅಸಹ್ಯ ಪಡುವಿ.\n\n3. ಪವಿತ್ರ ಸ್ವಾಮಿ ದೇವರೇ,\nನಮ್ಮನ್ನು ಶುಚಿಸು;\nಆ ಮೇಲೆ ಸತ್ಯದಿಂದಲೇ\nಆರಾಧಿಸುವೆವು.","1. Yehöva Jagadheeshanë!\nNeenaathmanaagiddhee;\nSampoorña aathma sëvege\nYaavaagyu mechchutthee.\n\n2. Nammantharanga, Karthanë,\nPareekshe maadutthi;\nNammalli mösa kandare\nAsahya paduvi.\n\n3. Pavithra Swaamee Dhëvarë,\nNammannu shuchisu;\nAamële sathyadhindhalë\nAaraadhisuvevu.",20,C. Campbell,kannada,Adoration of God the Father,1
3,"1. ಶುದ್ಧ, ಶುದ್ಧ, ಶುದ್ಧ,\nಸರ್ವಶಕ್ತ ಕರ್ತ,\nನಿಂಗೆ ಸ್ತುತಿ ಸ್ತೋತ್ರ\nನಿರಂತವಾಗಲಿ!\nಅತಿ ಪರಿಶುದ್ಧ\nಕರುಣಾಳು ಸ್ವಾಮೀ!\nಏಕ ತ್ರಯೈಕ, ಅನಾದಿ ದೇವರೇ!\n\n2. ಪರಿಶುದ್ಧ ಕರ್ತ,\nಪರಲೋಕದಲ್ಲಿ\nಶುದ್ಧರೆಲ್ಲ ನಿಂಗೆ\nಸಾಷ್ಟಾಂಗ ಬೀಳ್ವರು.\nದೂತರೆಲ್ಲ ಕೂಡ\nಸ್ತೋತ್ರ ಮಾಡುತ್ತಾರೆ-\nಏಕ, ತ್ರಯೈಕ, ಅನಂತ ದೇವರೇ!\n\n3. ಕರುಣಾಳು ಸ್ವಾಮೀ,\nವಿಶ್ವದೊಂದಿಗಿನ್ನು\nಅಲ್ಪರಾದ ನಾವು\nಕೊಂಡಾಡ ಬಂದೆವು -\nನಮ್ಮ ಸ್ತುತಿ ಹೊಂದು,\nಸರ್ವ ಶಕ್ತ ಕರ್ತಾ!\nಏಕ ತ್ರಯೈಕ, ಅನಾದ್ಯನಂತನೇ!","1. Shuddha, shuddha, shuddha,\nSarva shaktha Kartha,\nNinge sthuthi sthöthra \nniranthavaagali !\nAthi parishuddha karuñaalu Swaamee !\nËka, Thrayaika, anaadhi \nDhëvarë!\n\n2. Parishuddha Kartha, para \nlökadhalli\nShuddharella ninge saa$hta-\nanga beelvaru.\nDootharella kooda sthöthra\nmaadutthaare—\nËka, Thrayaika, anantha \nDhëvarë!\n\n3. Karuñaalu Swaamee, \nVishvadhondhiginnu\nAlparaadha naavu kondaada\nbandhevu—\nNamma sthuthi hondu, sarva shaktha Karthaa!\nËka, Thrayaika, anaadhyanan\nthanë !",245,B. LÃ¼thi,kannada,Adoration of God the Father,1
4,"1. ಸ್ವರ್ಗೀಯ ಮೇಳವು,\nಸಮಸ್ತ ದೂತರು,\nಕೆರೂಬ್ ಸೆರಾಫರು\nಯೆಹೋವನನ್ನು ಸ್ತುತಿಸಿ\nಗಂಭೀರವಾಗಿ ಕೀರ್ತಿಸಿ -\nಶುದ್ಧ, ಶುದ್ಧ, ಶುದ್ಧ\nನಮ್ಮೊಡೆಯಾ!\nಎಂದ್ಹಾಡುತ್ತಾರಹಾ.\n\n2. ಸಂಸಿದ್ಧ ಭಕ್ತರು\nಬಂಗಾರ ಬಾಗಲು\nಪ್ರವೇಶ ಮಾಡಲು,\nಶ್ರೀ ಶುಭ್ರವಸ್ತ್ರ ಧರಿಸಿ\nಆ ಧನ್ಯ ಮೇಳ ಕೀರ್ತಿಸಿ -\nಶುದ್ಧ, ಶುದ್ಧ, ಶುದ್ಧ\nನಮ್ಮೊಡೆಯಾ!\nಎಂದ್ಹಾಡುತ್ತಾರಹಾ!\n\n3. ನಮ್ಮಲ್ಪ ಸಭೆಯು\nಕನಿಷ್ಠ ಸ್ಥಾನದ್ದು,\nಧೂಳೀಲಿ ಬಿದ್ದದ್ದು;\nಸ್ವರಕ್ತದಿಂದ ಬಿಡಿಸಿ\nಕೊಂಡಾತನನ್ನು ಕೀರ್ತಿಸಿ -\nಶುದ್ಧ, ಶುದ್ಧ, ಶುದ್ಧ\nನಮ್ಮೊಡೆಯಾ!\nಎಂದ್ಹಾಡುತ್ತೇವಹಾ.","1. Swargeeya mëlavu,\nSamastha dhootharu,\nKeroob seraapharu\nYehövanannu sthuthisi\nGambheeravaagi keerthisi—\nShuddha, shuddha, shuddha,\nNammodeyaa!\nYendh-haadutthaarahaa.\n\n2. Samsiddha bhaktharu\nBangaara baagalu\nPravësha maadalu,\nShree shubhra vasthra dharisi\nAa dhanya mëla keerthisi—\nshuddha, shuddha, shuddha\nNammodeyaa!\nYendh-haadutthaarahaa.\n\n3. Nammalpa sabheyu\nKani$hta sthaanaddhu,\nDhooleeli biddhaddhu;\nSwarakhthadhindha bidisi\nKondaathanannu keerthisi—\nShuddha, shuddha, shuddha\nNammodeya!\nYendh-haadutthëvahaa.",226,B. LÃ¼thi,kannada,Adoration of God the Father,1
5,"1. ನನ್ನ ದೇವ, ಪ್ರಿಯ ತಂದೆ!\nಬಡ ಬಾಲ ನಾನು ಬಂದೆ,\nಕರ್ತ, ಆದಿವಸ್ತುವೆ!\nನಿನ್ನ ಮುಂದೆ ವಂದಿಪೆ.\n\n2. ದೂತಗಣ ಘನದಿಂದ\nಸ್ತೋತ್ರ ಮಾಡೋ ಕಡೆಯಿಂದ\nನೀನು ಕೃಪಾನೇತ್ರದಿ\nಧೂಳಿಯೆನ್ನ ನೋಡುತಿ.\n\n3. ದೇವಗೃಹ, ದಿವದ್ವಾರ\nಅವಿಶ್ವಾಸಿ ಕಾಣಲಾರ.\nನಿಂಗೆ ದೂರವಾದೆನೈ!\nಎಷ್ಟೋ ಭ್ರಾಂತಿಯಾಯಿತೈ!\n\n4. ಕೆಟ್ಟ ಲೋಕದಾಶೆಯಿಂದ;\nಇನ್ನು ನಿನ್ನ ಐಕ್ಯದಿಂದ\nಅಗಲಿರಲಾರೆನು!\nನನ್ನ ಪ್ರಾಣ ರಕ್ಷಿಸು!\n\n5. ಬುದ್ಧಿ ಬಂತು ಕಡೆಯಲ್ಲಿ.\nನಿನ್ನ ಸನ್ನಿಧಾನದಲ್ಲಿ\nಸೇರಿ, ಪ್ರಿಯ ತಂದೆಯೆ,\nನಿತ್ಯಜೀವ ಹೊಂದಿದೆ.\n\n6. ಕೃಪೆಯಿಂದ ಕ್ಷಮೆಯನ್ನು,\nಕೃಪೆಯಿಂದ ಜೀವವನ್ನು\nಪಡಕೊಂಡೆ, ದೇವರೇ,\nನನ್ನ ಗತಿ ಕೃಪೆಯೇ!","1. Nanna Dhëva priya Thandhe!\nBada baala naanu bandhe,\nKartha, aadhi vasthuve!\nNinna mundhe vandhipe.\n\n2. Doothagaña ghanadhindha\nSthöthra maado kadeyindha\nNeenu krupaa nëthradhi\nDhooliyenna nöduthi.\n\n3. Dëvagruha, dhivadhwaara\nAvishvaasi kaañalaara.\nNinge dhooravaadhenai!\nYe$hto bhraanthiyaayithai!\n\n4. Kette lökadhaasheyindha;\nYinnu ninna aikyadhindha\nAgaliralaarenu!\nNanna praaña rakshisu!\n\n5. Buddhi banthu kadeyalli\nNinna sannidhaanadhalli\nSëri, priya Thandheye,\nNithyajeeva hondhidhe.\n\n6. Krupeyindha kshameyannu,\nKrupeyindha jeevavannu\nPadakonde. Dhëvarë\nNanna gathi krupeyë!",33,A. Kaundinya,kannada,Adoration of God the Father,1
6,"1. ಯೆಹೋವನೇ,\nಸಮಸ್ತ ಸೃಷ್ಟಿಯಿಂದ\nಸನ್ಮಾನ ಹೊಂದ ಯೋಗ್ಯನೇ,\nನಾನಾದರೂ ಮಹಾ ಸಂತೋಷದಿಂದ\nಸಂಗೀತ ನಿನಗೆತ್ತುವೆ.\n\n2. ಸರ್ವೇಶನೇ,\nಅನಾದಿಯಿಂದಿದ್ದಾತ,\nನೀನೆಲ್ಲ ಉಂಟುಮಾಡಿದಿ;\nಸಮಸ್ತವಂ ಸದಾ ನೀನಾಳುವಾತ,\nನನ್ನನ್ನು ನೀನೇ ಆಳುವಿ.\n\n3. ಇಮ್ಮಾನುವೇಲ್!\nನಾ ಕೆಟ್ಟು ಬೀಳುವಲ್ಲಿ\nನೀನೊಲಿದವತರಿಸಿ\nಈ ನನ್ನ ಘೋರ ಪಾಪಯುದ್ಧದಲ್ಲಿ\nನೀ ನನಗಾಗಿ ಜೈಸಿದಿ.\n\n4. ಯೆಹೋವನೇ,\nನೀನಿನ್ನು ಬರುವಾತ\nಗಂಭೀರ ನ್ಯಾಯತೀರ್ಪಿಗು;\nಅಂದೆನಗಿದ್ದು ನೀ ಸಂಜೀವದಾತ\nಕಲ್ಯಾಣದಲ್ಲಿ ಸೇರಿಸು!","1. Yehövanë\nSamastha sru$htiyindha\nSanmaana hondha yögyanë,\nNaanaadharoo mahaa \nsanthö$hadhindha\nSangeetha ninagetthuve.\n\n2. Sarvëshanë,\nAnaadhiyindhiddhaatha,\nNeenella untu maadidhi;\nSamasthavam sadhaa \nneenaaluvaatha,\nNannannu neenë aaluvi.\n\n3. Immanuvël !\nNaa kettu beeluvalli\nNeenolidhavatharisi\nYee nanna ghöra paapa yuddha- dhalli\nNee nanagaagi jaisidhi.\n\n4. Yehövanë,\nNeeninnu baruvaatha\nGambheera nyaaya theerpigu;\nAndhenagiddhu nee sanjeeva dhaatha\nKalyaañadhalli sërisu!",267,B. LÃ¼thi,kannada,Adoration of God the Father,1
7,"1. ಭೂಲೋಕಕ್ಕೀಶ ಮಾಡಿದ\nಸಂಪ್ರೀತಿಗೀಡು ಇಲ್ಲ.\nತಾ ಕಂಡು ದ್ರೋಹಜಾತಿಯ,\nಉಪೇಕ್ಷೆ ಮಾಡಲಿಲ್ಲ.\nಈ ಪ್ರೀತಿಯಂತವರಿತು\nದಯಾಬ್ಧಿನೆಲ ಕಾಣಲು\nಸಾಮರ್ಥ್ಯ ಯಾರಿಗುಂಟು?\n\n2. ಅಸಹ್ಯ ಪಾಪಮಲದಿ\nದೇವಾರಿಲೋಕ ಬಿತ್ತು;\nಆದಾಗ್ಯು ತಂದೆ ಒಲ್ಮೆಲಿ\nಕಟಾಕ್ಷ ಪೂರ್ತಿಯಿತ್ತು,\nವಿಮುಕ್ತಿ ಮಾಡುವದಕೆ\nಕೆಟ್ಠೋದ ಪಾಪಿಜಾತಿಗೆ\nಕುಮಾರನನ್ನು ಕೊಟ್ಟ.\n\n3. ಕುಮಾರನನ್ನು ಲೋಕವು\nತಾತ್ಸಾರ ಮಾಡಿತಲ್ಲ.\nಆದಾಗ್ಯು ಶಿಕ್ಷೆ ತಡೆದು\nತನ್ನಾತ್ಮ ಕೊಟ್ಟನಲ್ಲ.\nಹಾ! ದೀರ್ಘಶಾಂತ ದೇವರೇ,\nನಿನ್ನತಿಶಯ ಕೃಪೆಗೆ\nಸಾಷ್ಟಾಂಗ ನಮಸ್ಕಾರ!","1. Bhoolökakkeesha maadidha\nSampreethigeedu yilla.\nThaa kandu dhröha jaathiya,\nUpëkshe maadalilla\nYee preethiyanthavarithu\nDhayaabdhi nela kaañalu\nSaamarthya yaariguntu?\n\n2. Asahya paapa maladhi \nDhëvaari löka bitthu;\nAadhaagyu Thande olmeli\nKataaksha poorthiyitthu,\nVimukthi maaduvadhake\nKettödha paapi jaathige\nKumaaranannu kotta.\n\n3. Kumaaranannu lökavu\nThaathsaara maadithalla.\nAadhaagyu shikshe thadedhu\nThannaathma kottanalla.\nHaa! dheerghashaantha Dhëvarë,\nNinnathishaya krupege\nSaa$htaanga namaskaara!",111,H. MÃ¶gling & B. LÃ¼thi,kannada,Adoration of God the Father,1
8,"1. ನಾವೆಲ್ಲ ಕೂಡಿ ಹಾಡುವ-\nದೇವರು ಪ್ರೀತಿಯೇ;\nಭೂಪರಲೋಕಗಾಯನ-\nದೇವರು ಪ್ರೀತಿಯೇ;\nಪಾಪಾತ್ಮರೆಲ್ಲಾ ಬನ್ನಿರಿ,\nಇಂಪಾದ ರಾಗ ಬಾರಿಸಿ\nಸಂಭ್ರಮದಿಂದ ಹಾಡಿರಿ-\nದೇವರು ಪ್ರೀತಿಯೇ.\n\n2. ಓ ಸಾರಿರೆಲ್ಲ ಜನಕ್ಕು-\nದೇವರು ಪ್ರೀತಿಯೇ.\nಸಂರಕ್ಷಕನ್ನ ಕೊಟ್ಟನು;\nದೇವರು ಪ್ರೀತಿಯೇ.\nಕ್ರಿಸ್ತ್ಯೇಸುವಿನ ರಕ್ತವು\nಸಮಸ್ತ ಪಾಪ ತೊಳೆದು,\nನಮ್ಮನ್ನು ಶುಭ್ರ ಮಾಡಿತು;\nದೇವರು ಪ್ರೀತಿಯೇ.\n\n3. ಎಷ್ಟೋ ಸಂತೋಷವಾಯಿತು!\nದೇವರು ಪ್ರೀತಿಯೇ!\nಯೆಹೋವ ನಮ್ಮ ತಂದೆಯು;\nದೇವರು ಪ್ರೀತಿಯೇ.\nಗುರಾಣಿ, ಸೂರ್ಯ, ಸಂಪತ್ತು,\nಆಶ್ರಯ ಕೋಟೆ, ದುರ್ಗವು,\nಅನಂತ ಭಾಗ್ಯವಾತನು;\nದೇವರು ಪ್ರೀತಿಯೇ.\n\n4. ಈ ದೇಹ ಕ್ಷೀಣವಾದರೂ\nದೇವರು ಪ್ರೀತಿಯೇ!\nಹೃದಯ ಕುಂದಿಹೋದರೂ\nದೇವರು ಪ್ರೀತಿಯೇ!\nಭೂಲೋಕಯುದ್ಧದೊಳಗೆ\nಅಘೋರ ಮೃತ್ಯುಗಳಿಗೆ\nಬಂದಾಗ್ಯು ಆಗದಂಜಿಕೆ;\nದೇವರು ಪ್ರೀತಿಯೇ.","1. Naavella koodi haaduva—\nDhëvaru preethiyë;\nBhooparalökagaayana—\nDhëvaru preethiyë;\nPaapaathmarellaa banniri\nImpaadha raaga baarisi\nSambhramadhindha haadiri—\nDhëvaru preethiyë.\n\n2. Ö saarirella janakku— \nDhëvaru preethiyë.\nSamrakshakanna kottanu;\nDhëvaru preethiyë.\nKristhyësuvina rakthavu\nSamastha paapa tholedhu,\nNammannu shubhra maadithu;\nDhëvaru preethiyë.\n\n3. Ye$htö santhö$havaayithu!\nDhëvaru preethiyë!\nYehöva namma Thandheyu;\nDhëvaru preethiyë.\nGuraañi, soorya, sampatthu,\nAashraya, köte, dhurgavu,\nAnantha bhaagyavaathanu;\nDhëvaru preethiyë.\n\n4. Yee dhëha ksheeñavaadharoo\nDhëvaru preethiyë!\nHrudhaya kundhihödharoo\nDhëvaru preethiyë!\nBhoolökayuddhadholage\nAghöra mruthyugalige\nBandhaagyu aagadhanjike;\nDhëvaru preethiyë.",294,B. Rice,kannada,Adoration of God the Father,1
9,"1. ಯೆಹೋವನೆಮ್ಮ ಕುರುಬ!\nಕುಂದೇನು ನನಗೆ?\nತಣ್ಣೀರ ತಗ್ಗಿಗಹಹ,\nಹಚ್ಚಾನ ದಿನ್ನೆಗೆ\nನನ್ನನ್ನು ಬಿಟ್ಟು ಕಾಯುವ\nನನ್ನೊಳ್ಳೆ ಕುರುಬ.\n\n2. ಆಯಾಸ ಪಟ್ಟ ಕುರಿಗೆ\nವಿಶ್ರಾಂತಿಯೀಯುವ;\nಸಂಕಷ್ಟ ಬಂದರದಕೆ\nಸಹಾಯಕ್ಕೋಡುವ.\nನಿತ್ರಾಣ ಮರಿ ಹಟ್ಟಿಗು\nಕೈಯಲ್ಲಿ ಒಯ್ವನು.\n\n3. ಸಾವೆಂಬ ಕಪ್ಪು ಕೊಳ್ಳದಿ\nನಾ ಹಾಯ ಸೇರಲು\nನೀನೆನ್ನ ಕೂಡ ಸಾಗುವಿ,\nಪಿಶಾಚಿಗಂಜೆನು;\nನಿಂಗಿಪ್ಪ ದಂಡವೆನಗೆ\nಅಭಯ ಕೊಡುತೆ.\n\n4. ಮೇಲಾದ ಹಬ್ಬದೂಟಕೆ\nನೀನೆನ್ನ ಕರಿಸಿ\nಸುತೈಲವೆನ್ನ ಮಂಡೆಗೆ\nಚೆನ್ನಾಗಿ ಹಚ್ಚುವಿ.\nಈ ಭಾಗ್ಯವನ್ನು ಶತ್ರುವು\nಕಂಡಾಗ್ಯು ಹೊಂದನು.\n\n5. ಯೆಹೋವ, ಎಲ್ಲ ಕಾಲಕು\nನಿನ್ನಾಶೀರ್ವಾದವೆ\nನನ್ನಲ್ಲಿ ಕಂಡು ಬಪ್ಪುದು;\nಸಂತೃಪ್ತನಾಗುವೆ\nನಿನ್ನೊಂದಿಗಿಹದಲ್ಲಿಯು,\nನಿನ್ನೊಂದಿಗಲ್ಲಿಯು.","1. Yehövanemma Kuruba!\nKundhënu nanage?\nThaññeera thaggigahaha,\nHachchaana dhinnege\nNannannu bittu kaayuva\nNannolle Kuruba.\n\n2. Aayaasa patta kurige\nVishraanthi yeeyuva;\nSanka$hta bandharadhake\nSahaayakköduva.\nNithraaña mari hattigu\nKaiyalli oyvanu.\n\n3. Saavemba kappu kolladhi\nNaa haaya sëralu\nNeenenna kooda saaguvi,\nPishaachiganjenu;\nNingippa dhandavenage\nAbhaya koduthe.\n\n4. Mëlaadha habbadhootake\nNeenenna karisi\nSuthailavenna mandege\nChannaagi hachchuvi.\nYee bhaagyavannu shathruvu\nKandaagyu hondhanu.\n\n5. Yehöva, yella kaalaku\nNinnaasheervaadhave\nNannalli kandu bappudhu;\nSanthrupthanaaguve\nNinnondhigihadhalliyu,\nNinnondhigalliyu.","268,269,144",B. LÃ¼thi,kannada,Adoration of God the Father,1
10,"1. ಯೆಹೋವನ\nಆಶ್ರಯದುರ್ಗದಿ\nಹೊಕ್ಕಿರುವವನೂ,\nಸರ್ವೇಶನ\nಕೃಪಾವಾತ್ಸಲ್ಯದಿ\nನೆಲ್ಗೊಂಡ ಭಕ್ತನೂ,\nವಿಶಿಷ್ಟ ಸುಖದುಃಖದಲ್ಲಿ,\nಸಮಸ್ತ ರಾಜ್ಯಕ್ಷೋಭೆಯಲ್ಲಿ\nಸುಭದ್ರನೇ.\n\n2. ಯೆಹೋವನ\nಅಪ್ರತಿ ಸ್ನೇಹವೆ\nಅಭಯವೆನಗೆ.\nಶತ್ರುಂಗಳ\nಉಪಾಯತಂತ್ರಕೆ\nನಾನೆಂದೂ ಹೆದರೆ.\nಶೋಕಾಬ್ಧಿ ತೆರೆನೊರೆಯಲ್ಲಿ,\nನನ್ನನ್ನು ಮೃತ್ಯು ಹಿಡಿದಲ್ಲಿ\nನಾ ಬಾಳುವೆ.\n\n3. ಯೆಹೋವನ\nವಾಗ್ದತ್ತವೆಲ್ಲವು\nಸಂಪೂರ್ಣವಹುದು.\nಸನ್ಮಾರ್ಗದ\nತುದೀಲಿ ಮೋಕ್ಷವು\nಭಕ್ತಂಗೆ ತಪ್ಪದು.\nದೇವಾನುಗ್ರಹವೆನ್ನ ತೋಷ,\nಪವಿತ್ರ ವಾಕ್ಯ ನನ್ನ ಪೋಷ\nಭೂಯಾತ್ರೆಗೆ.\n\n4. ಯೆಹೋವನ \nಕೃಪಾಕಟಾಕ್ಷವು\nನನ್ನಿಷ್ಟ ಪದವಿ.\nದಯಾತ್ಮನ\nಸುಶಿಕ್ಷೆ ಬರಲು,\nಪ್ರಲಾಪಕಾಲದಿ\nವಿಧೇಯನಾಗಿ ಬೊಗ್ಗುತ್ತೇನೆ,\nಬಾಯ್ಮುಚ್ಚಿ ಒಡಂಬಟ್ಟಿದ್ದೇನೆ\nದೇವಾಜ್ಞೆಗೆ.\n\n5. ಯೆಹೋವನ\nಮಹಾಂತಃಕರಣ\nಅಪರಿಮಿತವು.\nಪಾಪಾತ್ಮನ\nವಿನಾಶ ಮರಣ\nಇಚ್ಛೈ ಸನೆಂದಿಗು.\nದುರ್ಗತ ಶಾಪಗ್ರಸ್ತರನ್ನು\nವಿಮುಕ್ತಿ ಮಾಡೋ ಕ್ರಿಸ್ತನನ್ನು\nತಾ ಕೊಟ್ಟನು.\n\n6. ಯೆಹೋವನ\nಆಶ್ರಯದುರ್ಗವ\nಹೊಕ್ಕಿರು ಬಿಡದೆ!\nಸರ್ವೇಶನ\nಕೃಪಾವಾತ್ಸಲ್ಯವ\nನಂಬೆನ್ನ ಮನವೇ!\nವಿಶ್ವಾಸಿಸೋ! ಹೋರಾಟದಲ್ಲಿ\nಗಟ್ಟ್ಯಾಗಿ ನಿಲ್ಲು! ನಿನಗಲ್ಲಿ\nಸೌಭಾಗ್ಯವೇ!","1. Yehövana\nAashraya dhurgadhi\nHokkiruvavanoo,\nSarvëshana\nKrupaavaathsalyadhi \nNelgonda bhakthanoo,\nVishi$hta sukha dhuh-khadhalli,\nSamastha raajya kshöbheyalli\nSubhadhranë.\n\n2. Yehövana\nAprathi snëhave\nAbhayavenage.\nShathrungala\nUpaaya thanthrake\nNaanendhu hedhare.\nShökaabdhi therenoreyalli,\nNannannu mruthyu hididhalli\nNaa baaluve.\n\n3. Yehövana\nVaagdhatthavellavu\nSampoorñavahudhu.\nSanmaargadha\nThudheeli mökshavu\nBhakthange thappadhu.\nDhëvaanugrahavenna thö$ha,\nPavithra vaakya nanna pö$ha\nBhooyaathrege.\n\n4. Yehövana\nKrupaakataakshavu\nNanni$hta padhavi.\nDhayaathmana\nSushikshe baralu,\nPralaapakaaladhi\nVidhëyanaagi boggutthëne,\nBaai muchchi odambattiddhëne\nDhëvaajnege.\n\n5. Yehövana\nMahaanthah-karaña\nAparimithavu.\nPaapaathmana\nVinaasha maraña\nYichchaisanendhigu.\nDhurgatha shaapagrastharannu\nVimukthi maado Kristhanannu\nThaa kottanu.\n\n6. Yehövana\nAashraya dhurgava\nHokkiru bidadhe!\nSarvëshana\nKrupaavaathsalyava\nNambenna manavë!\nVishvaasisö! höraatadhalli\nGattyaagi nillu! ninagalli\nSaubhaagyavë!",170,A. MÃ¤nner,kannada,Adoration of God the Father,1
